Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES
de1562e3-fcc5-3552-81f4-51af39459afd,74ab949d-17ac-3309-83a0-13b4405c66aa,Ted955 Reilly981,M,GENERAL PRACTICE,881 Main Street,Fitchburg,MA,01420,42.586487,-71.80521,2417,0
f2364a94-694c-335d-835b-2c92e240f5eb,588f6ce6-b8db-3588-8189-29db2680a313,Tiffaney302 Brakus656,F,GENERAL PRACTICE,461 WALNUT AVE,JAMAICA PLAIN,MA,021302331,42.311587599999996,-71.09800136347226,181,0
b788fb77-610c-303a-8fbe-ea6d9f7f072e,324b4137-57a0-3ae0-89db-1c33f57ae0c1,Marquis364 Satterfield305,M,GENERAL PRACTICE,134 NORTH ST,NORTH READING,MA,018641315,42.5892341,-71.10546522083789,1,0
d7fd3db0-eb47-3152-ba7d-a0616d156fb3,b6398e07-4967-31a5-807f-380039a1f303,Shane235 Lueilwitz711,M,GENERAL PRACTICE,19 TACOMA ST,WORCESTER,MA,016053516,42.30230485,-71.76614692511056,64,0
721b9eb6-b9a5-3039-b870-25fffb3f950c,faffaf6a-ee1a-3673-b0b0-421a9c249244,Jaunita130 Armstrong51,F,GENERAL PRACTICE,66 WASHINGTON ST,STOUGHTON,MA,020722571,42.14415820061801,-71.10378319512402,200,0
cc99182e-0dea-3c74-a312-7d6e5b7fcfce,17a4bae5-8b64-34d7-8144-b428be027bd0,Olympia319 Ward668,F,GENERAL PRACTICE,512 MAIN STREET  SUITE 211,SHREWSBURY,MA,015456406,42.295109499999995,-71.71808471110307,91,0
dc299d09-c277-3952-a3d4-61e8126ae203,4112b8b1-59df-3255-a7ca-f42ee0a4cb2e,Nereida276 Feeney44,F,GENERAL PRACTICE,37 ROUTE 6A,SANDWICH,MA,025631801,41.766329400000004,-70.5147600346998,26,0
2fc3e197-259f-38d5-bfab-3d19ee1d1ce2,e09d4c49-c2ef-3b0f-9a46-3719d9219306,Ronald408 Emard19,F,GENERAL PRACTICE,60 HOSPITAL RD,LEOMINSTER,MA,014533290,42.54031915,-71.76312990486304,700,0
59b369c4-1f36-383a-8485-a44898f02ac6,e76b5eb0-0c9d-3593-b5da-3c0e9a97bb96,Gisele901 Lehner980,F,GENERAL PRACTICE,1400 VFW Parkway,West Roxbury,MA,02132,42.2793,-71.1657,725,0
9f3c528e-5a1d-3108-8ebc-fb218842212c,c241b977-4131-32e4-9957-e0a00b2a1e5f,Kip442 Krajcik437,M,GENERAL PRACTICE,94 MAIN STREET,HYANNIS,MA,026013146,41.6562802,-70.27448000204822,4,0
5a21ee1d-701a-39da-aca7-a9304771d0eb,ef5390b4-cba5-3d83-96db-af783a7adb43,Milan77 Anderson154,M,GENERAL PRACTICE,360 MERRIMACK ST,MALDEN,MA,021482329,42.4250964,-71.066163,6,0
743c78f3-3b4f-319e-9771-5335b98cce83,77645e49-3f69-3d1d-bb93-dc65210e2fac,Julia241 Armijo730,F,GENERAL PRACTICE,363 HIGHLAND AVE,FALL RIVER,MA,027205246,41.7093779,-71.1460783680883,63,0
d2655f28-396f-3e02-9acc-0aeedf2057eb,6fafb5d4-ecca-37ab-8d24-53036a8cbf1e,Shelley12 Nikolaus26,F,GENERAL PRACTICE,320 WEST CENTER STREET  2ND FLOOR,WEST BRIDGEWATER,MA,02379,42.016080599999995,-71.02601589317304,37,0
31a38a50-8626-38fa-8083-ea9b0876a7d7,aa682136-a4df-3942-9f50-e6fcee6c0b73,Ricardo560 Sáenz811,M,GENERAL PRACTICE,501 CORDWAINER DRIVE,NORWELL,MA,020611630,42.1647071,-70.88149077838713,40,0
50b70de2-e7a5-39ee-806e-95367921b627,d2284f74-b6da-3a15-9791-84cdf2db18fb,Fernande593 Mosciski958,F,GENERAL PRACTICE,331 E FALMOUTH HWY,E FALMOUTH,MA,025366039,41.57853245,-70.5617374807812,15,0
